VF,LCD (Å),PLD (Å),SA (m2/g )
0.7082,12.14,5.49468,2142.5
0.6838,6.90619,6.37667,3203.43
0.7148,7.38605,6.67234,3796.35
0.6118,7.81335,6.23608,2025.72
0.282,4.66548,2.44078,126.066
0.7412,9.7414,9.14394,2942.66
0.653,5.20436,4.63461,1243.27
0.8378,15.3841,14.1862,3295.43
0.6484,10.2247,9.87308,1851.98
0.622,11.4197,9.93708,1731.98
0.7374,12.6133,10.849,2716.19
0.696,9.76079,6.4479,2358.28
0.8128,18.5189,8.56409,4455.72
0.8104,15.9496,10.3936,4229.57
0.5236,7.01968,3.83495,1201.98
0.4966,7.93943,4.67024,496.35
0.6298,8.14998,6.76772,2296.86
0.7256,9.40538,8.82837,2969.47
0.6944,9.50607,8.86576,2510.98
0.6384,5.71977,3.98662,939.473
0.689,10.5058,8.82117,2469.74
0.8014,15.0914,8.39804,5034.3
0.7644,13.98,12.8757,3848.36
0.781,8.86764,6.4582,3759.41
0.7172,10.5583,7.30371,3948.21
0.5974,6.23685,3.59052,1731.28
0.6568,5.10002,3.64368,2928.3
0.7764,7.54214,5.04155,4800.8
0.9182,29.975,15.0225,6628.79
0.9118,19.8186,17.0636,6349.95
0.771,9.67197,6.44372,3023.99
0.566,8.39175,6.59132,1525.26
0.5972,11.038,8.53557,1256.69
0.7754,9.12367,7.3846,3993.78
0.7154,8.20803,5.81249,2613.87
0.7562,17.9252,17.514,2738.65
0.82,30.7006,30.1441,3192.07
0.7968,28.2177,27.5597,3082.47
0.8506,36.7876,36.4331,3019.95
0.8304,38.2281,38.0665,2893.25
0.6988,15.8178,9.45289,1620.88
0.7062,13.8756,10.0361,1724.8
0.8088,13.4742,9.8037,4196.14
0.8122,13.9045,9.65699,4982.37
0.5102,5.22922,5.1443,577.454
0.7026,10.6602,2.55815,1456.16
0.7602,10.5831,9.90235,3530.9
0.7116,8.61965,8.10074,2893.87
0.8176,14.2106,13.622,4254.04
0.8582,15.2629,13.96,4846.42
0.7178,7.94342,5.01622,2983.95
0.7,6.42929,6.08998,4281.71
0.868,21.0952,19.2468,4251.56
0.71,10.6707,8.77989,2439.99
0.7858,9.84183,8.46338,2431.49
0.5932,10.2315,2.96242,1250.22
0.4998,9.32937,5.73491,353.212
0.7794,11.9515,7.15447,3706.27
0.6354,12.213,10.1222,1518.32
0.546,6.806,6.26285,1381.18
0.7138,5.53716,4.24775,2114.75
0.6728,12.1737,9.5104,2172.08
0.6948,5.89707,5.20358,2736.42
0.5304,7.14775,3.38394,1142.79
0.6096,6.28851,3.57969,1275.2
0.8394,12.9956,11.5941,4816.02
0.7786,10.7978,7.28862,5417.95
0.6944,15.6562,6.95834,2327.95
0.7992,10.9331,7.2387,2264.38
0.615,9.35755,7.41632,1403.47
0.7358,11.1243,6.7889,2274.84
0.7276,8.9528,6.92043,2748.28
0.665,8.51649,4.04507,2711.18
0.6544,10.1172,8.98959,1437.98
0.5744,5.56011,4.7997,1754.91
0.7088,8.4438,5.40906,4075.73
0.809,12.4053,8.52361,4005.36
0.837,13.6809,10.3707,4736.79
0.8026,12.651,8.2906,4503.64
0.8052,12.425,8.36781,4335.39
0.715,11.3777,5.00759,3392.15
0.6006,8.86609,7.97255,1844.92
0.7158,13.7728,9.32974,2543.09
0.745,11.6532,7.63405,3087.55
0.8258,24.2323,22.8992,4150.4
0.6862,7.86092,6.25774,1829.13
0.7682,13.5521,8.93511,3881.87
0.8898,19.2341,9.51535,4716.4
0.7756,10.7713,8.65206,2572.07
0.7776,13.6671,9.63813,3346.47
0.6398,5.14269,4.75945,1652.16
0.5972,8.90326,5.05379,1791.07
0.734,8.30632,6.09762,3481.13
0.775,11.1955,6.07261,5122.32
0.73,9.82687,5.92931,4207.48
0.6962,7.58377,5.1021,3558.48
0.7746,12.0734,5.35338,5223.93
0.7296,9.53314,6.14559,4232.98
0.7482,9.81757,5.20485,5015.39
0.7442,9.75422,5.20239,5046.92
0.6618,10.4707,8.24292,2088.78
0.7516,10.3632,5.21129,5052.94
0.7178,8.53899,7.85329,2751.44
0.7204,14.5915,9.55269,2309.97
0.576,4.15957,3.7187,642.607
0.86,14.9209,13.2604,5140.9
0.863,15.2806,14.4886,5189.2
0.8496,12.1173,10.7008,3703.29
0.6104,10.1352,6.68232,2170.52
0.6342,7.94214,3.31169,1067.78
0.6522,9.10711,7.36025,1060.59
0.7812,8.78437,6.6937,3229.36
0.7746,14.2807,6.83408,3050.2
0.7706,15.0577,6.22214,3178.7
0.8662,17.2398,11.9478,5633.74
0.7866,11.9719,10.5497,4463.64
0.6656,10.258,6.23412,2797.96
0.701,15.4153,6.04579,2212.97
0.7268,9.98256,7.27933,2676.71
0.6094,7.89373,4.43058,1277.23
0.7722,10.9388,6.90793,3408.24
0.738,10.5541,4.56253,3503.12
0.7282,10.0324,7.42233,2962.88
0.6396,11.6396,10.7635,1693.37
0.6084,10.3381,9.26479,978.616
0.5892,8.30737,6.78194,1906.3
0.6376,8.79938,7.37416,582.391
0.6326,7.09794,6.73731,1073.26
0.7296,10.2957,8.38587,2489.54
0.759,16.2089,7.16155,3560.7
0.781,15.9584,6.79866,4596.76
0.7774,16.1552,7.17077,4325.17
0.7842,15.9383,10.4935,3712.18
0.7646,8.54706,6.43178,4104.38
0.7108,10.8507,4.21913,3845.71
0.6606,10.4656,7.25807,1257.39
0.582,7.24568,4.22882,807.218
0.7732,10.2655,8.18203,2985.1
0.6752,15.0227,4.23694,2407.37
0.7926,18.8853,7.91531,3768.23
