Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
5000,0.8726,23.7283,19.638,5120.87
10000,0.8726,23.7283,19.638,5120.87
1000,0.7108,10.8507,4.21913,3845.71
10000000,0.8406,34.8596,34.3554,3523.86
10000,0.6876,15.9397,5.38602,1090.53
5000,0.6876,15.9397,5.38602,1090.53
40000,0.6876,15.9397,5.38602,1090.53
5000,0.9124,33.6834,15.8789,6442.53
1,0.7672,11.2434,5.32116,5199.61
1,0.7196,20.6868,7.65386,1639.33
10000000,0.7646,20.7269,7.8738,1858.6
1,0.7704,11.1302,5.34376,5190.06
1,0.7652,11.1665,5.2519,5143.68
1000,0.8308,21.1368,18.3383,1489.85
1000,0.913,26.2529,12.5751,6072.13
500,0.8308,21.1368,18.3383,1489.85
20,0.318,5.66636,4.82954,537.249
100000,0.651,12.7788,12.0274,874.57
10000000,0.3822,7.74818,2.59314,335.528
10000000,0.3868,7.73837,2.55685,320.418
10000000,0.8096,15.0513,7.94511,3880.01
10000000,0.5094,8.09916,4.69208,1059.38
10000000,0.8114,15.0927,7.93434,3806.46
1,0.7968,28.2177,27.5597,3082.47
1,0.6692,9.6188,8.65235,2948.81
10000000,0.753,18.8079,13.7187,2463.35
1,0.5098,5.72133,5.32598,1375.6
1,0.6628,7.04016,6.80377,2722.98
10000000,0.6924,10.225,9.4107,3144.66
500000,0.6376,8.79938,7.37416,582.391
10000,0.749,27.7973,11.161,2183.9
1000000,0.6376,8.79938,7.37416,582.391
1,0.8288,24.9488,9.11981,4755.92
10000000,0.3284,7.01875,6.807,222.047
10000000,0.7968,15.0711,13.1397,4514.6
1000,0.6626,14.9857,9.18322,2293.15
500,0.6626,14.9857,9.18322,2293.15
10000000,0.7912,24.4406,23.6272,2839.17
1,0.8788,17.2864,15.7464,5076.95
1,0.8756,18.7842,14.8946,4996.42
1,0.8024,23.8709,10.8478,1789.58
500,0.781,16.0531,15.7898,3838.8
1,0.8856,17.2951,15.3322,5193.45
5000,0.895,28.4313,15.9175,5364.2
1,0.6946,17.2901,12.6482,1463.62
1,0.7146,21.4922,18.9061,1717.87
10000,0.895,28.4313,15.9175,5364.2
1,0.7586,13.8998,13.6804,2147.93
1,0.8358,25.6855,17.1242,3194.1
100,0.7606,5.53493,4.56275,3560.59
50,0.7606,5.53493,4.56275,3560.59
40,0.7606,5.53493,4.56275,3560.59
10000000,0.7586,13.8998,13.6804,2147.93
500,0.7822,7.07949,4.99162,6931.17
100,0.869,27.2094,25.5491,4279.41
1000,0.7762,7.47545,6.2198,7061.42
10000000,0.779,7.63453,6.61136,5185.13
50,0.869,27.2094,25.5491,4279.41
1000,0.6368,4.2795,3.43566,1022.41
10000000,0.756,6.30911,4.65211,1985.26
500,0.6368,4.2795,3.43566,1022.41
50000,0.844,23.7023,22.8547,4485.82
40000,0.844,23.7023,22.8547,4485.82
100,0.5854,12.7414,3.10347,429.158
1,0.8726,23.7283,19.638,5120.87
10000000,0.5972,13.1595,6.68014,1390.78
1000,0.778,13.3149,6.32995,5688.77
10000000,0.6956,19.7987,19.3368,1714.37
500,0.7082,10.7884,9.81151,1033.55
1000,0.7082,10.7884,9.81151,1033.55
100000,0.8428,22.4236,6.86083,4453.33
1,0.8336,18.755,13.3791,3463.71
1,0.8038,16.1525,9.49143,4878.38
10000000,0.7968,28.2177,27.5597,3082.47
1000,0.9392,42.7982,24.2406,6405.57
500,0.9392,42.7982,24.2406,6405.57
10000,0.8984,18.5744,17.5567,4541.16
10000000,0.6572,17.3911,9.80191,1657.09
10000,0.7584,14.9728,6.60675,2829.56
5000,0.7584,14.9728,6.60675,2829.56
10000,0.7708,14.0542,6.66438,3013.21
10000,0.7746,14.2807,6.83408,3050.2
5000,0.7708,14.0542,6.66438,3013.21
5000,0.8304,38.2281,38.0665,2893.25
10000000,0.8662,17.2398,11.9478,5633.74
10000000,0.8816,28.6652,11.5377,5712.98
10000,0.82,30.7006,30.1441,3192.07
1,0.7214,18.6369,3.90699,2868.16
5000,0.9304,37.5257,19.5411,6088.87
500,0.7918,8.54513,8.23246,3203.31
10000,0.772,16.7889,16.7175,1925.59
1000,0.7918,8.54513,8.23246,3203.31
10000,0.7562,17.9252,17.514,2738.65
100,0.8444,11.455,9.77333,4968.9
50,0.8444,11.455,9.77333,4968.9
40,0.8444,11.455,9.77333,4968.9
1,0.7912,24.4406,23.6272,2839.17
1,0.9124,33.6834,15.8789,6442.53
5000,0.4162,3.37427,2.42599,0.292371
5000,0.3978,3.46744,2.40351,5.5213
40000,0.6946,17.2901,12.6482,1463.62
5000,0.4008,3.43251,2.42738,7.28822
