VF,LCD (Å),PLD (Å),SA (m2/g ),Pressure (Pa),Adsorption (cm3 STP/gr)
0.8942,19.8654,14.5686,5195.22,5000,0.679738365
0.8942,19.8654,14.5686,5195.22,50000,6.670977015
0.8942,19.8654,14.5686,5195.22,100000,13.20603171
0.8942,19.8654,14.5686,5195.22,500000,61.12942515
0.8942,19.8654,14.5686,5195.22,1000000,117.066199
0.8942,19.8654,14.5686,5195.22,5000000,460.5038834
0.8942,19.8654,14.5686,5195.22,10000000,721.8847498
0.7926,8.54787,6.76817,4979.11,1,0.000202767
0.7926,8.54787,6.76817,4979.11,5000,0.728197954
0.7926,8.54787,6.76817,4979.11,50000,7.252833644
0.7926,8.54787,6.76817,4979.11,100000,14.3942671
0.7926,8.54787,6.76817,4979.11,500000,67.07001322
0.7926,8.54787,6.76817,4979.11,1000000,126.8226866
0.7926,8.54787,6.76817,4979.11,5000000,343.7509643
0.7926,8.54787,6.76817,4979.11,10000000,417.3017161
0.7924,8.53005,6.74275,4908.1,1,0.000200272
0.7924,8.53005,6.74275,4908.1,5000,0.727970507
0.7924,8.53005,6.74275,4908.1,50000,7.251185172
0.7924,8.53005,6.74275,4908.1,100000,14.46874855
0.7924,8.53005,6.74275,4908.1,500000,66.87151333
0.7924,8.53005,6.74275,4908.1,1000000,126.8447112
0.7924,8.53005,6.74275,4908.1,5000000,339.8676591
0.7924,8.53005,6.74275,4908.1,10000000,411.0075893
0.8336,18.755,13.3791,3463.71,1,0.00011043
0.8336,18.755,13.3791,3463.71,5000,0.436720221
0.8336,18.755,13.3791,3463.71,50000,4.297483068
0.8336,18.755,13.3791,3463.71,100000,8.597694825
0.8336,18.755,13.3791,3463.71,500000,41.3682721
0.8336,18.755,13.3791,3463.71,1000000,78.01869745
0.8336,18.755,13.3791,3463.71,5000000,303.1086673
0.8336,18.755,13.3791,3463.71,10000000,454.2534708
0.6026,11.2156,10.8749,1278.57,1,0.000540838
0.6026,11.2156,10.8749,1278.57,5000,2.564367355
0.6026,11.2156,10.8749,1278.57,50000,15.26801834
0.6026,11.2156,10.8749,1278.57,100000,23.03441049
0.6026,11.2156,10.8749,1278.57,500000,57.58501698
0.6026,11.2156,10.8749,1278.57,1000000,82.65221138
0.6026,11.2156,10.8749,1278.57,5000000,145.7298611
0.6026,11.2156,10.8749,1278.57,10000000,166.3484822
0.8326,14.4419,10.2051,4708.57,1,0.000123254
0.8326,14.4419,10.2051,4708.57,5000,0.68661395
0.8326,14.4419,10.2051,4708.57,50000,6.85565592
0.8326,14.4419,10.2051,4708.57,100000,13.63315433
0.8326,14.4419,10.2051,4708.57,500000,63.50391854
0.8326,14.4419,10.2051,4708.57,1000000,119.9972838
0.8326,14.4419,10.2051,4708.57,5000000,391.6221672
0.8326,14.4419,10.2051,4708.57,10000000,527.8405298
0.7948,13.8531,6.75838,4060.62,1,0.000169663
0.7948,13.8531,6.75838,4060.62,5000,0.851426874
0.7948,13.8531,6.75838,4060.62,50000,8.435499469
0.7948,13.8531,6.75838,4060.62,100000,16.71484747
0.7948,13.8531,6.75838,4060.62,500000,76.46527737
0.7948,13.8531,6.75838,4060.62,1000000,140.6513776
0.7948,13.8531,6.75838,4060.62,5000000,367.1646618
0.7948,13.8531,6.75838,4060.62,10000000,448.0604394
0.7898,11.39,7.08849,4228.07,1,0.000242926
0.7898,11.39,7.08849,4228.07,5000,0.976937395
0.7898,11.39,7.08849,4228.07,50000,9.576599646
0.7898,11.39,7.08849,4228.07,100000,18.76148346
0.7898,11.39,7.08849,4228.07,500000,83.96727842
0.7898,11.39,7.08849,4228.07,1000000,150.6952741
0.7898,11.39,7.08849,4228.07,5000000,372.6782592
0.7898,11.39,7.08849,4228.07,10000000,447.8064543
