Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
10000000,0.6824,13.5559,7.04166,1824.95
10000000,0.8126,21.9666,7.7864,3146.28
10000000,0.8428,22.4236,6.86083,4453.33
10000000,0.722,17.9991,10.1349,2001.01
5000000,0.8428,22.4236,6.86083,4453.33
10000000,0.8486,20.2584,8.96976,3799.24
5000000,0.722,17.9991,10.1349,2001.01
10000000,0.7756,19.7171,10.8356,2683.42
10000000,0.7258,15.6648,9.57746,2405.46
10000000,0.7352,15.5314,9.65919,2400.28
10000000,0.722,16.1602,9.89287,2357.36
10000000,0.7344,15.5271,9.99848,2302.22
10000000,0.7646,20.7269,7.8738,1858.6
10000000,0.8462,24.3095,9.03515,4885.64
5000000,0.7646,20.7269,7.8738,1858.6
10000000,0.8336,18.755,13.3791,3463.71
5000000,0.8462,24.3095,9.03515,4885.64
10000000,0.8636,16.1529,14.6931,4211.18
10000000,0.811,18.3386,11.3142,2944.33
10000000,0.7962,14.6918,13.07,2818.01
5000000,0.8636,16.1529,14.6931,4211.18
10000000,0.7794,15.8149,13.6198,3148.79
10000000,0.8756,18.7842,14.8946,4996.42
10000000,0.8378,15.3841,14.1862,3295.43
10000000,0.8366,15.3719,14.1833,3285.35
5000000,0.8756,18.7842,14.8946,4996.42
10000000,0.8942,19.8654,14.5686,5195.22
10000000,0.8736,22.824,13.4901,4829.51
5000000,0.8736,22.824,13.4901,4829.51
1000000,0.8736,22.824,13.4901,4829.51
10000000,0.8764,24.5508,12.1743,4535.57
10000000,0.849,23.4936,11.5336,4491.91
10000000,0.8738,25.7153,12.0883,5688.62
10000000,0.8902,25.1756,12.4937,5799.87
10000000,0.8696,18.7144,16.1732,3824.31
10000000,0.871,26.3351,10.2764,5129.28
5000000,0.8738,25.7153,12.0883,5688.62
10000000,0.8426,24.2826,10.2733,4760.85
10000000,0.8126,18.2148,15.5853,3256.18
10000000,0.781,16.0531,15.7898,3838.8
5000000,0.8126,18.2148,15.5853,3256.18
10000000,0.8874,24.7893,14.092,5147.71
10000000,0.8374,18.6145,16.9288,4480.84
5000000,0.8374,18.6145,16.9288,4480.84
10000000,0.753,18.8079,13.7187,2463.35
10000000,0.7688,21.5414,12.8264,2828.28
10000000,0.9076,28.0134,12.18,5696.7
10000000,0.896,27.3378,13.339,6170.7
10000000,0.8624,27.2403,13.9632,4785.05
10000000,0.913,26.2529,12.5751,6072.13
5000000,0.896,27.3378,13.339,6170.7
5000000,0.8624,27.2403,13.9632,4785.05
10000000,0.8844,27.5106,14.8846,5099.19
10000000,0.895,28.4313,15.9175,5364.2
10000000,0.8788,17.2864,15.7464,5076.95
10000000,0.7816,24.1004,7.53546,3431.26
5000000,0.895,28.4313,15.9175,5364.2
10000000,0.863,15.2806,14.4886,5189.2
100000,0.7688,21.5414,12.8264,2828.28
10000000,0.8984,18.5744,17.5567,4541.16
100000,0.7774,20.4608,11.4837,2900.02
10000000,0.6638,19.5454,7.16489,1629.78
10000000,0.9118,19.8186,17.0636,6349.95
10000000,0.7294,18.4135,3.91151,2681.95
5000000,0.9118,19.8186,17.0636,6349.95
10000000,0.7214,18.6369,3.90699,2868.16
5000000,0.7294,18.4135,3.91151,2681.95
10000000,0.9182,29.975,15.0225,6628.79
10000000,0.7026,15.1422,13.4436,2579.28
10000000,0.868,21.0952,19.2468,4251.56
10000000,0.8726,23.7283,19.638,5120.87
10000000,0.6666,17.3855,6.83963,2163.48
500000,0.8726,23.7283,19.638,5120.87
10000000,0.9064,21.7232,20.9879,4539.4
