Pressure (Pa),VF,LCD (Å),PLD (Å),SA (m2/g )
5000000,0.7026,7.33818,5.78241,3514.13
10000000,0.6992,7.07783,5.58584,3272.96
10000000,0.7068,7.45351,5.81909,3645.63
10000000,0.6994,6.70534,6.02432,3283.04
10000000,0.7136,6.35523,5.9549,3387.58
10000000,0.7048,7.03668,6.10812,3283.03
10000000,0.7144,7.15818,6.15135,3546.47
5000000,0.693,6.7853,6.06191,3613.74
5000000,0.711,6.848,5.25293,3637.09
10000000,0.6814,7.62791,6.18953,3163
10000000,0.6548,7.19383,5.44633,3265.37
10000000,0.687,8.00306,5.96794,3264.96
10000000,0.6838,6.90619,6.37667,3203.43
10000000,0.6812,6.75939,5.98836,2941.42
10000000,0.6938,7.09885,6.53196,3355.22
10000000,0.675,6.37918,5.90394,3209.14
10000000,0.7064,8.06476,5.62993,3176.31
10000000,0.7058,8.02024,6.48918,3366.26
10000000,0.6984,7.79568,5.2994,3119.83
10000000,0.6682,8.09581,6.09927,3096.04
5000000,0.6988,7.36512,5.79316,3472.7
5000000,0.7058,8.02024,6.48918,3366.26
5000000,0.687,8.00306,5.96794,3264.96
10000000,0.734,8.30632,6.09762,3481.13
10000000,0.715,7.0547,5.80911,3825.28
5000000,0.6814,7.62791,6.18953,3163
10000000,0.7218,7.54466,5.76979,3712.64
10000000,0.7174,8.07986,5.82761,3750
10000000,0.7318,7.9329,6.23525,3777.17
10000000,0.7034,7.76168,6.6264,3807.52
5000000,0.7218,7.54466,5.76979,3712.64
10000000,0.7148,7.38605,6.67234,3796.35
10000000,0.6932,6.8959,6.15645,3903.55
5000000,0.7034,7.76168,6.6264,3807.52
10000000,0.699,7.96067,5.75072,3946.53
10000000,0.7298,8.38485,6.51445,3748.72
5000000,0.7148,7.38605,6.67234,3796.35
5000000,0.699,7.96067,5.75072,3946.53
5000000,0.6932,6.8959,6.15645,3903.55
10000000,0.733,7.98338,7.19596,3553.36
10000000,0.7326,8.04408,6.54623,3173.36
5000000,0.733,7.98338,7.19596,3553.36
10000000,0.6852,8.11946,6.79716,3111.44
10000000,0.7158,8.1309,7.21043,3037.76
10000000,0.725,8.5954,7.40656,3201.36
10000000,0.7112,7.29309,6.51816,3112.39
10000000,0.705,8.53834,6.535,3062.9
10000000,0.7066,8.20931,6.61957,2952.68
10000000,0.724,8.99031,6.43493,3133.41
10000000,0.7266,8.26997,6.53639,3057.16
5000000,0.705,8.53834,6.535,3062.9
10000000,0.7258,8.5642,7.08912,3088.99
10000000,0.6554,7.25379,5.92825,2665.55
5000000,0.7326,8.04408,6.54623,3173.36
10000000,0.6812,7.63161,5.91717,2764.75
10000000,0.6598,7.32998,6.03401,2671.92
10000000,0.7,6.42929,6.08998,4281.71
10000000,0.7254,7.6924,7.0244,3001.16
10000000,0.7052,5.63215,4.41962,4008.23
10000000,0.7082,6.17717,5.82599,4307.06
10000000,0.722,9.2615,6.75088,3710.38
10000000,0.7336,6.08536,5.42004,4157.27
5000000,0.7336,6.08536,5.42004,4157.27
5000000,0.7082,6.17717,5.82599,4307.06
10000000,0.736,9.10665,6.72913,3650.63
5000000,0.7,6.42929,6.08998,4281.71
10000000,0.7222,7.50813,5.20054,4363.91
10000000,0.7158,9.5634,6.50142,3356.33
10000000,0.7312,8.29403,6.89914,4172.71
10000000,0.7422,7.28617,5.35852,4090.58
5000000,0.7222,7.50813,5.20054,4363.91
5000000,0.7312,8.29403,6.89914,4172.71
10000000,0.7448,9.04253,7.30249,3855.09
5000000,0.722,9.2615,6.75088,3710.38
10000000,0.7088,8.4438,5.40906,4075.73
5000000,0.7448,9.04253,7.30249,3855.09
10000000,0.7302,9.47418,7.83744,3810.89
10000000,0.7488,9.10111,6.40889,4151.9
10000000,0.7484,9.69314,7.13433,3529.46
10000000,0.7532,9.64125,7.09583,3541.09
10000000,0.7296,9.53314,6.14559,4232.98
10000000,0.7172,10.5583,7.30371,3948.21
10000000,0.7478,9.59326,6.44061,4333.14
10000000,0.7608,8.90548,6.79186,4334.67
10000000,0.7534,10.1383,6.56369,3852.42
10000000,0.7444,8.44,5.51406,4425.61
10000000,0.7646,8.54706,6.43178,4104.38
10000000,0.7742,9.64677,7.09331,3957
5000000,0.7488,9.10111,6.40889,4151.9
10000000,0.7798,10.0815,7.22011,4076.29
5000000,0.7478,9.59326,6.44061,4333.14
10000000,0.7576,9.30653,7.96955,3878.82
10000000,0.7728,10.0804,7.17794,4441.79
10000000,0.7544,11.0202,7.37075,3609.3
10000000,0.734,9.09863,5.59872,4348.79
10000000,0.7816,10.3603,7.47097,4163.57
10000000,0.7606,9.31006,7.53558,4521.86
5000000,0.7816,10.3603,7.47097,4163.57
5000000,0.7798,10.0815,7.22011,4076.29
10000000,0.7504,10.555,6.2941,4181.84
10000000,0.7428,9.94535,8.42715,3665
10000000,0.754,9.81493,7.51137,3472.22
5000000,0.7428,9.94535,8.42715,3665
10000000,0.7756,10.3393,8.28295,3519.42
5000000,0.7302,9.47418,7.83744,3810.89
10000000,0.7556,8.87764,7.99015,4521.13
10000000,0.744,10.5274,8.16815,3319.23
10000000,0.7324,10.2553,8.1108,3235.83
10000000,0.719,10.1502,8.70819,3672.63
10000000,0.7754,9.12367,7.3846,3993.78
10000000,0.7646,11.0021,7.6444,3571.55
10000000,0.7502,10.8698,8.81904,3544.05
10000000,0.7584,11.625,8.78986,4078.37
5000000,0.7606,9.31006,7.53558,4521.86
10000000,0.7542,8.58065,5.8094,4035.37
5000000,0.7444,8.44,5.51406,4425.61
5000000,0.7584,11.625,8.78986,4078.37
10000000,0.7746,11.3906,6.9563,4512
10000000,0.7898,11.39,7.08849,4228.07
5000000,0.7172,10.5583,7.30371,3948.21
5000000,0.7728,10.0804,7.17794,4441.79
10000000,0.795,12.3213,7.27063,4325.4
5000000,0.7898,11.39,7.08849,4228.07
5000000,0.7746,11.3906,6.9563,4512
5000000,0.795,12.3213,7.27063,4325.4
10000000,0.8052,12.425,8.36781,4335.39
10000000,0.809,12.4053,8.52361,4005.36
10000000,0.8026,12.651,8.2906,4503.64
5000000,0.8052,12.425,8.36781,4335.39
5000000,0.809,12.4053,8.52361,4005.36
10000000,0.787,13.2774,7.61293,3985.35
10000000,0.7864,13.612,8.61498,4197.32
10000000,0.796,12.8399,7.4101,4506.73
5000000,0.7864,13.612,8.61498,4197.32
10000000,0.7794,11.9515,7.15447,3706.27
10000000,0.7682,13.5521,8.93511,3881.87
10000000,0.7556,13.0957,7.43748,3730.15
10000000,0.7834,13.7962,7.99146,3777.11
5000000,0.7556,13.0957,7.43748,3730.15
10000000,0.7554,12.6579,7.41339,3515.05
10000000,0.8008,11.5302,8.55287,3633.67
10000000,0.7212,13.1432,8.49712,3638.73
10000000,0.7246,13.3117,8.62623,3760.71
10000000,0.767,12.6138,8.71559,3357.77
10000000,0.7606,11.9191,9.14993,3725.41
10000000,0.776,14.11,7.45371,3968.58
10000000,0.739,11.5081,7.82539,3375.59
10000000,0.7794,13.6167,6.49901,4258.46
5000000,0.787,13.2774,7.61293,3985.35
10000000,0.7532,12.3721,6.12785,3902.93
10000000,0.7924,8.53005,6.74275,4908.1
10000000,0.7686,13.7857,6.83219,3970.91
10000000,0.8076,12.3613,6.84234,4653.12
10000000,0.7906,13.8207,6.83124,4025.06
10000000,0.7948,13.8531,6.75838,4060.62
10000000,0.7826,13.8961,6.70448,3779.43
10000000,0.775,11.1955,6.07261,5122.32
10000000,0.8028,11.3341,8.20992,5169.29
10000000,0.7878,9.60031,8.17399,4944.37
10000000,0.7674,10.3208,5.66439,5186.51
10000000,0.7634,10.368,5.68179,5182.06
10000000,0.7786,10.7978,7.28862,5417.95
10000000,0.7974,10.3198,7.54281,5444.55
5000000,0.7786,10.7978,7.28862,5417.95
5000000,0.7974,10.3198,7.54281,5444.55
10000000,0.8158,10.4133,8.31604,5219.56
5000000,0.8158,10.4133,8.31604,5219.56
10000000,0.8104,10.7871,9.22291,4721.18
10000000,0.8084,11.9106,8.94015,4926.21
10000000,0.8076,10.7406,8.40432,5356.61
5000000,0.8028,11.3341,8.20992,5169.29
10000000,0.8194,11.5652,8.64377,5192.46
10000000,0.7628,9.27242,5.3599,5193.56
10000000,0.8226,12.9763,9.4474,4728.27
10000000,0.7326,8.3495,5.13588,5084.98
10000000,0.813,12.082,9.91355,4692.86
10000000,0.815,12.9546,9.6087,4689.52
10000000,0.8202,12.9498,9.58722,4749.95
10000000,0.8444,11.455,9.77333,4968.9
10000000,0.8114,13.1878,9.81049,4657.62
10000000,0.786,12.6337,9.84913,4246.95
5000000,0.815,12.9546,9.6087,4689.52
5000000,0.8226,12.9763,9.4474,4728.27
5000000,0.8444,11.455,9.77333,4968.9
10000000,0.8088,13.4742,9.8037,4196.14
5000000,0.8202,12.9498,9.58722,4749.95
10000000,0.7482,9.81757,5.20485,5015.39
