CIFNAME,smiles_nodes,smiles_linkers,topology
ALATAK_clean,[Ca],O=C1[CH]C(=O)C(=O)[CH]C1=O,fsh
ALEJAE_clean,[In][O]([In])[In],O=C(Nc1ccc(cc1)C(=O)[O-])Nc1cc(NC(=O)Nc2ccc(cc2)C(=O)[O-])cc(c1)NC(=O)Nc1ccc(cc1)C(=O)[O-],UNKNOWN
ALEJEI_clean,[Cu][Cu],O=C(Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(NC(=O)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)NC(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],ERROR,ntt
ALEJIM_clean,[Zn][Zn],O=C(Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(NC(=O)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)NC(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],ERROR,ntt
ALIBUT_clean,[Zn]O[Mo](O[Zn])(O[Zn])O[Zn],N1=[C][C]=N[C]1;[C]1=N[C][C]=N1;[C]1[C]N2[C]N1[C][C]2,ERROR
ALICAA_clean,[Zn]O[W](O[Zn])(O[Zn])O[Zn],[C]1[C]N2[C]N1[C][C]2;[C]1[N][C][C][N]1,ERROR
ALIFUY_clean,[Cd],[O-]C(=O)C1=CC=CN([CH]1)Cc1ccc(cc1)C(=O)[O-];n1ccc(cc1)c1ccncc1,dia
ALIXAU_clean_h,[Cu],O=C1[CH][CH]N=C[N]1;O=C1[CH][C]=NC=N1;O=C1[N]C=NC(=O)[CH]1,sod
ALIXOJ_clean,[Ni][OH][Ni],[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)O)C(=O)[O-])cc(c1)C(=O)[O-],crb,UNKNOWN
ALIXUP_clean,[Cu][OH][Cu][OH][Cu],[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],pts,sur
ALOLES_ion_b,[Bi];[O][K];[O][K]O[Bi],[O-]C(=O)C(CC(=O)[O-])(CC(=O)[O-])[O];[O-]C(=O)CC1(OOC(=O)CC23O[Bi]45(O[C](C1)[O]4O5)(OC(=O)C2)OC3=O)C(=O)[O-];[O]OC(=O)CC(C(=O)[O-])(CC(=O)[O-])[O],UNKNOWN
ALOLET_charged,[In],[N][C]1[C][C](C=C([CH]1)C(=O)[O-])C(=O)[O-];[N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-];[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-];[O-]C(=O)c1ccc(cc1)c1ccc(cc1)[C]1OO1,npo
ALOLIY_clean,[Mn];[Mn][OH2][Mn][OH2][Mn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],tfi
ALOLOD_charged,[In],Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-];[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-],npo
ALONEV_clean,,,NA
